Time;Output 1;Output 2;Output 3;Output 4
15:50:31;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:32;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:33;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:34;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:35;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:36;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:37;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:38;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:39;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:40;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:41;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:42;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:43;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:44;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:45;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:46;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:47;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:48;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:49;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:51;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:52;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:53;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:54;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:55;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:56;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:57;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:58;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:59;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:00;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:01;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:02;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:03;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:04;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:05;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:06;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:07;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:08;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:09;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:10;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:11;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:12;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:13;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:14;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:16;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:17;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:18;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:19;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:20;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:21;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:22;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
